14	15	16	17	18	19	20	21	22	23	5	24	25	26	27	28	29	30	31	32	6	33	7	8	9	10	11	12	13
Sawblade_Choice	DarkRed_Choice	Spade_Choice	UpArrow_Choice	Hat_Choice	DarkGreen_Choice	DarkYellow_Choice	DarkGreen_Choice	DarkYellow_Choice	DarkGray_Choice	DarkRed_Choice	Spike_Choice	LightBlue_Choice	LightBlue_Choice	UpArrow_Choice	Nail_Choice	Nail_Choice	LightRed_Choice	Hourglass_Choice	DarkGray_Choice	LightBlue_Choice	Spike_Choice	LightBlue_Choice	LightYellow_Choice	Hourglass_Choice	LightRed_Choice	Hat_Choice	LightBlue_Choice	Sawblade_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Spike	DarkPurple	LightTurquiose	Puzzle	Hat	DarkYellow	Sawblade	Lock	DarkYellow	UpArrow	DarkYellow	DarkYellow	Sawblade	Sawblade	DarkYellow	Sawblade	LightBlue	LightGray	Venn	Hat	Spike	DarkYellow	Lock	Diamond	Lock	LightRed	DarkRed	DarkRed	Hat
Spike	DarkPurple	LightTurquiose	Puzzle	Hat	DarkYellow	Sawblade	Lock	DarkYellow	UpArrow	DarkYellow	DarkYellow	Sawblade	Sawblade	DarkYellow	Sawblade	LightBlue	LightGray	Venn	Hat	Spike	DarkYellow	Lock	Diamond	Lock	LightRed	DarkRed	DarkRed	Hat
Spike	DarkPurple	LightTurquiose	Puzzle	Hat	DarkYellow	Sawblade	Lock	DarkYellow	UpArrow	DarkYellow	DarkYellow	Sawblade	Sawblade	DarkYellow	Sawblade	LightBlue	LightGray	Venn	Hat	Spike	DarkYellow	Lock	Diamond	Lock	LightRed	DarkRed	DarkRed	Hat
Spike_Choice	DarkPurple_Choice	LightTurquiose_Choice	Puzzle_Choice	Hat_Choice	DarkYellow_Choice	Sawblade_Choice	Lock_Choice	DarkYellow_Choice	UpArrow_Choice	DarkYellow_Choice	DarkYellow_Choice	Sawblade_Choice	Sawblade_Choice	DarkYellow_Choice	Sawblade_Choice	LightBlue_Choice	LightGray_Choice	Venn_Choice	Hat_Choice	Spike_Choice	DarkYellow_Choice	Lock_Choice	Diamond_Choice	Lock_Choice	LightRed_Choice	DarkRed_Choice	DarkRed_Choice	Hat_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkYellow	Puzzle	DarkRed	Puzzle	LightTurquiose	DarkGreen	Bar	Lock	LightBlue	Sawblade	DarkYellow	DarkYellow	Hat	Hat	Sawblade	LightGray	Sawblade	DarkBlue	Sawblade	Hat	Sawblade	Spike	LightBlue	LightGreen	Hourglass	Sawblade	Spike	UpArrow	Hat
DarkYellow	Puzzle	DarkRed	Puzzle	LightTurquiose	DarkGreen	Bar	Lock	LightBlue	Sawblade	DarkYellow	DarkYellow	Hat	Hat	Sawblade	LightGray	Sawblade	DarkBlue	Sawblade	Hat	Sawblade	Spike	LightBlue	LightGreen	Hourglass	Sawblade	Spike	UpArrow	Hat
DarkYellow	Puzzle	DarkRed	Puzzle	LightTurquiose	DarkGreen	Bar	Lock	LightBlue	Sawblade	DarkYellow	DarkYellow	Hat	Hat	Sawblade	LightGray	Sawblade	DarkBlue	Sawblade	Hat	Sawblade	Spike	LightBlue	LightGreen	Hourglass	Sawblade	Spike	UpArrow	Hat
DarkYellow_Choice	Puzzle_Choice	DarkRed_Choice	Puzzle_Choice	LightTurquiose_Choice	DarkGreen_Choice	Bar_Choice	Lock_Choice	LightBlue_Choice	Sawblade_Choice	DarkYellow_Choice	DarkYellow_Choice	Hat_Choice	Hat_Choice	Sawblade_Choice	LightGray_Choice	Sawblade_Choice	DarkBlue_Choice	Sawblade_Choice	Hat_Choice	Sawblade_Choice	Spike_Choice	LightBlue_Choice	LightGreen_Choice	Hourglass_Choice	Sawblade_Choice	Spike_Choice	UpArrow_Choice	Hat_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
