19	20	21	22	23	24	25	26	27	28	5	6	7	8	9	10	16	17	18
Spike	LightRed	Lock	DarkBlue	DarkBlue	LightRed	DarkGray	Rabbit	DarkGray	Rabbit	LightGreen	LightYellow	Diamond	Diamond	Lock	Nail	Lock	Nail	DarkBlue
Spike	LightRed	Lock	DarkBlue	DarkBlue	LightRed	DarkGray	Rabbit	DarkGray	Rabbit	LightGreen	LightYellow	Diamond	Diamond	Lock	Nail	Lock	Nail	DarkBlue
Spike	LightRed	Lock	DarkBlue	DarkBlue	LightRed	DarkGray	Rabbit	DarkGray	Rabbit	LightGreen	LightYellow	Diamond	Diamond	Lock	Nail	Lock	Nail	DarkBlue
Spike_Choice	LightRed_Choice	Lock_Choice	DarkBlue_Choice	DarkBlue_Choice	LightRed_Choice	DarkGray_Choice	Rabbit_Choice	DarkGray_Choice	Rabbit_Choice	LightGreen_Choice	LightYellow_Choice	Diamond_Choice	Diamond_Choice	Lock_Choice	Nail_Choice	Lock_Choice	Nail_Choice	DarkBlue_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Lock	DarkRed	LightRed	LightGreen	LightGreen	LightRed	DarkGray	Hat	DarkBlue	Venn	DarkGray	Hat	LightYellow	LightGreen	Lock	DarkYellow	Lock	DarkYellow	LightGreen
Lock	DarkRed	LightRed	LightGreen	LightGreen	LightRed	DarkGray	Hat	DarkBlue	Venn	DarkGray	Hat	LightYellow	LightGreen	Lock	DarkYellow	Lock	DarkYellow	LightGreen
Lock	DarkRed	LightRed	LightGreen	LightGreen	LightRed	DarkGray	Hat	DarkBlue	Venn	DarkGray	Hat	LightYellow	LightGreen	Lock	DarkYellow	Lock	DarkYellow	LightGreen
Lock_Choice	DarkRed_Choice	LightRed_Choice	LightGreen_Choice	LightGreen_Choice	LightRed_Choice	DarkGray_Choice	Hat_Choice	DarkBlue_Choice	Venn_Choice	DarkGray_Choice	Hat_Choice	LightYellow_Choice	LightGreen_Choice	Lock_Choice	DarkYellow_Choice	Lock_Choice	DarkYellow_Choice	LightGreen_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkBlue	Hourglass	LightGreen	LightRed	LightRed	DarkBlue	Nail	Nail	Rabbit	Venn	LightGreen	Lock	DarkGray	DarkGreen	Nail	Lock	Nail	Lock	Spade
DarkBlue	Hourglass	LightGreen	LightRed	LightRed	DarkBlue	Nail	Nail	Rabbit	Venn	LightGreen	Lock	DarkGray	DarkGreen	Nail	Lock	Nail	Lock	Spade
DarkBlue	Hourglass	LightGreen	LightRed	LightRed	DarkBlue	Nail	Nail	Rabbit	Venn	LightGreen	Lock	DarkGray	DarkGreen	Nail	Lock	Nail	Lock	Spade
DarkBlue_Choice	Hourglass_Choice	LightGreen_Choice	LightRed_Choice	LightRed_Choice	DarkBlue_Choice	Nail_Choice	Nail_Choice	Rabbit_Choice	Venn_Choice	LightGreen_Choice	Lock_Choice	DarkGray_Choice	DarkGreen_Choice	Nail_Choice	Lock_Choice	Nail_Choice	Lock_Choice	Spade_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Lock	UpArrow	UpArrow	Nail	Nail	Hourglass	LightPurple	Rabbit	DarkBlue	DarkGray	LightGreen	Hat	Lock	DarkGray	Nail	Spade	Nail	Spade	DarkBlue
Lock	UpArrow	UpArrow	Nail	Nail	Hourglass	LightPurple	Rabbit	DarkBlue	DarkGray	LightGreen	Hat	Lock	DarkGray	Nail	Spade	Nail	Spade	DarkBlue
Lock	UpArrow	UpArrow	Nail	Nail	Hourglass	LightPurple	Rabbit	DarkBlue	DarkGray	LightGreen	Hat	Lock	DarkGray	Nail	Spade	Nail	Spade	DarkBlue
Lock_Choice	UpArrow_Choice	UpArrow_Choice	Nail_Choice	Nail_Choice	Hourglass_Choice	LightPurple_Choice	Rabbit_Choice	DarkBlue_Choice	DarkGray_Choice	LightGreen_Choice	Hat_Choice	Lock_Choice	DarkGray_Choice	Nail_Choice	Spade_Choice	Nail_Choice	Spade_Choice	DarkBlue_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
