6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	4	5
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkBlue	LightTurquiose	Spade	Hat	Bar	UpArrow	Bar	Rabbit	Rabbit	Rabbit	Nail	DarkGray	LightYellow	DarkGreen	Hat	Spade	DarkGreen	DarkGreen	Nail	LightTurquiose	Diamond	Diamond	Diamond	UpArrow	Diamond	Bar	Hat
DarkBlue	LightTurquiose	Spade	Hat	Bar	UpArrow	Bar	Rabbit	Rabbit	Rabbit	Nail	DarkGray	LightYellow	DarkGreen	Hat	Spade	DarkGreen	DarkGreen	Nail	LightTurquiose	Diamond	Diamond	Diamond	UpArrow	Diamond	Bar	Hat
DarkBlue	LightTurquiose	Spade	Hat	Bar	UpArrow	Bar	Rabbit	Rabbit	Rabbit	Nail	DarkGray	LightYellow	DarkGreen	Hat	Spade	DarkGreen	DarkGreen	Nail	LightTurquiose	Diamond	Diamond	Diamond	UpArrow	Diamond	Bar	Hat
DarkBlue_Choice	LightTurquiose_Choice	Spade_Choice	Hat_Choice	Bar_Choice	UpArrow_Choice	Bar_Choice	Rabbit_Choice	Rabbit_Choice	Rabbit_Choice	Nail_Choice	DarkGray_Choice	LightYellow_Choice	DarkGreen_Choice	Hat_Choice	Spade_Choice	DarkGreen_Choice	DarkGreen_Choice	Nail_Choice	LightTurquiose_Choice	Diamond_Choice	Diamond_Choice	Diamond_Choice	UpArrow_Choice	Diamond_Choice	Bar_Choice	Hat_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkGray	LightPurple	UpArrow	Rabbit	DarkBlue	DarkRed	Nail	LightTurquiose	Diamond	LightPurple	DarkRed	LightYellow	DarkBlue	Diamond	LightYellow	Rabbit	UpArrow	Hat	UpArrow	LightTurquiose	Rabbit	Rabbit	Rabbit	Nail	Rabbit	LightYellow	LightYellow
DarkGray	LightPurple	UpArrow	Rabbit	DarkBlue	DarkRed	Nail	LightTurquiose	Diamond	LightPurple	DarkRed	LightYellow	DarkBlue	Diamond	LightYellow	Rabbit	UpArrow	Hat	UpArrow	LightTurquiose	Rabbit	Rabbit	Rabbit	Nail	Rabbit	LightYellow	LightYellow
DarkGray	LightPurple	UpArrow	Rabbit	DarkBlue	DarkRed	Nail	LightTurquiose	Diamond	LightPurple	DarkRed	LightYellow	DarkBlue	Diamond	LightYellow	Rabbit	UpArrow	Hat	UpArrow	LightTurquiose	Rabbit	Rabbit	Rabbit	Nail	Rabbit	LightYellow	LightYellow
DarkGray_Choice	LightPurple_Choice	UpArrow_Choice	Rabbit_Choice	DarkBlue_Choice	DarkRed_Choice	Nail_Choice	LightTurquiose_Choice	Diamond_Choice	LightPurple_Choice	DarkRed_Choice	LightYellow_Choice	DarkBlue_Choice	Diamond_Choice	LightYellow_Choice	Rabbit_Choice	UpArrow_Choice	Hat_Choice	UpArrow_Choice	LightTurquiose_Choice	Rabbit_Choice	Rabbit_Choice	Rabbit_Choice	Nail_Choice	Rabbit_Choice	LightYellow_Choice	LightYellow_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Rabbit	LightTurquiose	Hat	DarkGreen	LightPurple	Diamond	LightTurquiose	Diamond	DarkRed	LightTurquiose	LightPurple	Bar	Bar	DarkBlue	LightYellow	DarkBlue	Spade	LightPurple	UpArrow	Spade	DarkRed	DarkRed	DarkRed	Spade	DarkRed	Diamond	DarkBlue
Rabbit	LightTurquiose	Hat	DarkGreen	LightPurple	Diamond	LightTurquiose	Diamond	DarkRed	LightTurquiose	LightPurple	Bar	Bar	DarkBlue	LightYellow	DarkBlue	Spade	LightPurple	UpArrow	Spade	DarkRed	DarkRed	DarkRed	Spade	DarkRed	Diamond	DarkBlue
Rabbit	LightTurquiose	Hat	DarkGreen	LightPurple	Diamond	LightTurquiose	Diamond	DarkRed	LightTurquiose	LightPurple	Bar	Bar	DarkBlue	LightYellow	DarkBlue	Spade	LightPurple	UpArrow	Spade	DarkRed	DarkRed	DarkRed	Spade	DarkRed	Diamond	DarkBlue
Rabbit_Choice	LightTurquiose_Choice	Hat_Choice	DarkGreen_Choice	LightPurple_Choice	Diamond_Choice	LightTurquiose_Choice	Diamond_Choice	DarkRed_Choice	LightTurquiose_Choice	LightPurple_Choice	Bar_Choice	Bar_Choice	DarkBlue_Choice	LightYellow_Choice	DarkBlue_Choice	Spade_Choice	LightPurple_Choice	UpArrow_Choice	Spade_Choice	DarkRed_Choice	DarkRed_Choice	DarkRed_Choice	Spade_Choice	DarkRed_Choice	Diamond_Choice	DarkBlue_Choice
