13	14	15	4	5	6	7	8	9	10	11	12
DarkRed_Choice	DarkGray_Choice	DarkRed_Choice	Diamond_Choice	Nail_Choice	Diamond_Choice	DarkGray_Choice	DarkBlue_Choice	Rabbit_Choice	LightYellow_Choice	DarkRed_Choice	DarkRed_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Nail	LightYellow	Rabbit	DarkBlue	LightYellow	Spade	DarkGray	LightPurple	Diamond	Diamond	DarkBlue	Nail
Nail	LightYellow	Rabbit	DarkBlue	LightYellow	Spade	DarkGray	LightPurple	Diamond	Diamond	DarkBlue	Nail
Nail	LightYellow	Rabbit	DarkBlue	LightYellow	Spade	DarkGray	LightPurple	Diamond	Diamond	DarkBlue	Nail
Nail_Choice	LightYellow_Choice	Rabbit_Choice	DarkBlue_Choice	LightYellow_Choice	Spade_Choice	DarkGray_Choice	LightPurple_Choice	Diamond_Choice	Diamond_Choice	DarkBlue_Choice	Nail_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightPurple	DarkBlue	DarkBlue	DarkGray	Rabbit	LightYellow	DarkGreen	Nail	DarkGreen	LightTurquiose	DarkRed	LightPurple
LightPurple	DarkBlue	DarkBlue	DarkGray	Rabbit	LightYellow	DarkGreen	Nail	DarkGreen	LightTurquiose	DarkRed	LightPurple
LightPurple	DarkBlue	DarkBlue	DarkGray	Rabbit	LightYellow	DarkGreen	Nail	DarkGreen	LightTurquiose	DarkRed	LightPurple
LightPurple_Choice	DarkBlue_Choice	DarkBlue_Choice	DarkGray_Choice	Rabbit_Choice	LightYellow_Choice	DarkGreen_Choice	Nail_Choice	DarkGreen_Choice	LightTurquiose_Choice	DarkRed_Choice	LightPurple_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkGray	UpArrow	DarkGreen	LightTurquiose	Nail	DarkGray	UpArrow	UpArrow	DarkRed	DarkBlue	LightYellow	DarkGray
DarkGray	UpArrow	DarkGreen	LightTurquiose	Nail	DarkGray	UpArrow	UpArrow	DarkRed	DarkBlue	LightYellow	DarkGray
DarkGray	UpArrow	DarkGreen	LightTurquiose	Nail	DarkGray	UpArrow	UpArrow	DarkRed	DarkBlue	LightYellow	DarkGray
DarkGray_Choice	UpArrow_Choice	DarkGreen_Choice	LightTurquiose_Choice	Nail_Choice	DarkGray_Choice	UpArrow_Choice	UpArrow_Choice	DarkRed_Choice	DarkBlue_Choice	LightYellow_Choice	DarkGray_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightPurple	LightTurquiose	Diamond	Rabbit	Bar	Diamond	Diamond	LightPurple	LightPurple	DarkBlue	UpArrow	LightPurple
LightPurple	LightTurquiose	Diamond	Rabbit	Bar	Diamond	Diamond	LightPurple	LightPurple	DarkBlue	UpArrow	LightPurple
LightPurple	LightTurquiose	Diamond	Rabbit	Bar	Diamond	Diamond	LightPurple	LightPurple	DarkBlue	UpArrow	LightPurple
LightPurple_Choice	LightTurquiose_Choice	Diamond_Choice	Rabbit_Choice	Bar_Choice	Diamond_Choice	Diamond_Choice	LightPurple_Choice	LightPurple_Choice	DarkBlue_Choice	UpArrow_Choice	LightPurple_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
UpArrow	DarkGray	Rabbit	Rabbit	DarkGreen	LightYellow	UpArrow	LightTurquiose	Rabbit	Hat	DarkBlue	UpArrow
UpArrow	DarkGray	Rabbit	Rabbit	DarkGreen	LightYellow	UpArrow	LightTurquiose	Rabbit	Hat	DarkBlue	UpArrow
UpArrow	DarkGray	Rabbit	Rabbit	DarkGreen	LightYellow	UpArrow	LightTurquiose	Rabbit	Hat	DarkBlue	UpArrow
UpArrow_Choice	DarkGray_Choice	Rabbit_Choice	Rabbit_Choice	DarkGreen_Choice	LightYellow_Choice	UpArrow_Choice	LightTurquiose_Choice	Rabbit_Choice	Hat_Choice	DarkBlue_Choice	UpArrow_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Hat	Bar	Hat	Spade	LightPurple	Hat	LightYellow	LightPurple	LightPurple	DarkBlue	LightTurquiose	Hat
Hat	Bar	Hat	Spade	LightPurple	Hat	LightYellow	LightPurple	LightPurple	DarkBlue	LightTurquiose	Hat
Hat	Bar	Hat	Spade	LightPurple	Hat	LightYellow	LightPurple	LightPurple	DarkBlue	LightTurquiose	Hat
Hat_Choice	Bar_Choice	Hat_Choice	Spade_Choice	LightPurple_Choice	Hat_Choice	LightYellow_Choice	LightPurple_Choice	LightPurple_Choice	DarkBlue_Choice	LightTurquiose_Choice	Hat_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Nail	Bar	DarkGreen	UpArrow	LightYellow	LightYellow	LightPurple	LightPurple	Bar	Spade	DarkRed	Nail
Nail	Bar	DarkGreen	UpArrow	LightYellow	LightYellow	LightPurple	LightPurple	Bar	Spade	DarkRed	Nail
Nail	Bar	DarkGreen	UpArrow	LightYellow	LightYellow	LightPurple	LightPurple	Bar	Spade	DarkRed	Nail
Nail_Choice	Bar_Choice	DarkGreen_Choice	UpArrow_Choice	LightYellow_Choice	LightYellow_Choice	LightPurple_Choice	LightPurple_Choice	Bar_Choice	Spade_Choice	DarkRed_Choice	Nail_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
