14	15	16	17	18	19	20	21	5	6	7	8	9	10	11	12	13
DarkTurquiose	LightTurquiose	DarkTurquiose	LightTurquiose	LightBlue	LightPurple	LightBlue	Bar	DarkGray	Hat	LightYellow	LightGreen	Spike	Hourglass	LightRed	Hourglass	Dodecagon
DarkTurquiose	LightTurquiose	DarkTurquiose	LightTurquiose	LightBlue	LightPurple	LightBlue	Bar	DarkGray	Hat	LightYellow	LightGreen	Spike	Hourglass	LightRed	Hourglass	Dodecagon
DarkTurquiose_Choice	LightTurquiose_Choice	DarkTurquiose_Choice	LightTurquiose_Choice	LightBlue_Choice	LightPurple_Choice	LightBlue_Choice	Bar_Choice	DarkGray_Choice	Hat_Choice	LightYellow_Choice	LightGreen_Choice	Spike_Choice	Hourglass_Choice	LightRed_Choice	Hourglass_Choice	Dodecagon_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightGray	Spade	Dodecagon	LightRed	Spade	Rabbit	Rabbit	LightYellow	LightGreen	Lock	DarkGray	DarkGreen	Lock	LightGreen	Spade	Hourglass	LightGray
LightGray	Spade	Dodecagon	LightRed	Spade	Rabbit	Rabbit	LightYellow	LightGreen	Lock	DarkGray	DarkGreen	Lock	LightGreen	Spade	Hourglass	LightGray
LightGray	Spade	Dodecagon	LightRed	Spade	Rabbit	Rabbit	LightYellow	LightGreen	Lock	DarkGray	DarkGreen	Lock	LightGreen	Spade	Hourglass	LightGray
LightGray_Choice	Spade_Choice	Dodecagon_Choice	LightRed_Choice	Spade_Choice	Rabbit_Choice	Rabbit_Choice	LightYellow_Choice	LightGreen_Choice	Lock_Choice	DarkGray_Choice	DarkGreen_Choice	Lock_Choice	LightGreen_Choice	Spade_Choice	Hourglass_Choice	LightGray_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
