13	14	15	16	17	18	19	20	21	4	5	6	7	8	9	10	11	12
LightPurple_Choice	LightPurple_Choice	Bar_Choice	Bar_Choice	LightYellow_Choice	LightYellow_Choice	DarkRed_Choice	Hat_Choice	LightPurple_Choice	DarkBlue_Choice	DarkBlue_Choice	DarkGreen_Choice	LightYellow_Choice	LightYellow_Choice	DarkBlue_Choice	Hat_Choice	DarkGray_Choice	LightPurple_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkGreen	DarkRed	LightYellow	LightYellow	Rabbit	Rabbit	UpArrow	LightPurple	UpArrow	LightYellow	Spade	Spade	LightTurquiose	Hat	Nail	DarkBlue	Nail	DarkGreen
DarkGreen	DarkRed	LightYellow	LightYellow	Rabbit	Rabbit	UpArrow	LightPurple	UpArrow	LightYellow	Spade	Spade	LightTurquiose	Hat	Nail	DarkBlue	Nail	DarkGreen
DarkGreen	DarkRed	LightYellow	LightYellow	Rabbit	Rabbit	UpArrow	LightPurple	UpArrow	LightYellow	Spade	Spade	LightTurquiose	Hat	Nail	DarkBlue	Nail	DarkGreen
DarkGreen_Choice	DarkRed_Choice	LightYellow_Choice	LightYellow_Choice	Rabbit_Choice	Rabbit_Choice	UpArrow_Choice	LightPurple_Choice	UpArrow_Choice	LightYellow_Choice	Spade_Choice	Spade_Choice	LightTurquiose_Choice	Hat_Choice	Nail_Choice	DarkBlue_Choice	Nail_Choice	DarkGreen_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
LightPurple	DarkRed	DarkRed	DarkRed	Bar	Bar	Diamond	Hat	DarkRed	Spade	LightYellow	Spade	LightYellow	DarkBlue	LightPurple	Bar	DarkGreen	LightPurple
LightPurple	DarkRed	DarkRed	DarkRed	Bar	Bar	Diamond	Hat	DarkRed	Spade	LightYellow	Spade	LightYellow	DarkBlue	LightPurple	Bar	DarkGreen	LightPurple
LightPurple	DarkRed	DarkRed	DarkRed	Bar	Bar	Diamond	Hat	DarkRed	Spade	LightYellow	Spade	LightYellow	DarkBlue	LightPurple	Bar	DarkGreen	LightPurple
