18	19	20	21	22	23	24	25	26	27	4	28	29	30	31	32	33	34	35	36	37	10	38	39	11	12	13	14	15	16	17
LightBlue	Sawblade	DarkGreen	LightRed	Venn	LightGray	Spike	UpArrow	Spade	LightTurquiose	LightGreen	LightTurquiose	LightTurquiose	LightGray	DarkTurquiose	DarkRed	LightTurquiose	DarkRed	LightBlue	Sawblade	Sawblade	LightGreen	UpArrow	UpArrow	Lock	Hat	Diamond	Dodecagon	Puzzle	Rabbit	Rabbit
LightBlue	Sawblade	DarkGreen	LightRed	Venn	LightGray	Spike	UpArrow	Spade	LightTurquiose	LightGreen	LightTurquiose	LightTurquiose	LightGray	DarkTurquiose	DarkRed	LightTurquiose	DarkRed	LightBlue	Sawblade	Sawblade	LightGreen	UpArrow	UpArrow	Lock	Hat	Diamond	Dodecagon	Puzzle	Rabbit	Rabbit
LightBlue_Choice	Sawblade_Choice	DarkGreen_Choice	LightRed_Choice	Venn_Choice	LightGray_Choice	Spike_Choice	UpArrow_Choice	Spade_Choice	LightTurquiose_Choice	LightGreen_Choice	LightTurquiose_Choice	LightTurquiose_Choice	LightGray_Choice	DarkTurquiose_Choice	DarkRed_Choice	LightTurquiose_Choice	DarkRed_Choice	LightBlue_Choice	Sawblade_Choice	Sawblade_Choice	LightGreen_Choice	UpArrow_Choice	UpArrow_Choice	Lock_Choice	Hat_Choice	Diamond_Choice	Dodecagon_Choice	Puzzle_Choice	Rabbit_Choice	Rabbit_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
DarkGreen	Bar	DarkGreen	DarkTurquiose	DarkGray	DarkGray	DarkYellow	LightGray	LightRed	LightTurquiose	Bar	Hourglass	Hourglass	Hourglass	Dodecagon	UpArrow	Spade	Dodecagon	DarkRed	DarkGray	UpArrow	Bar	DarkRed	DarkRed	DarkGreen	LightYellow	DarkGreen	Puzzle	Dodecagon	DarkPurple	Lock
DarkGreen	Bar	DarkGreen	DarkTurquiose	DarkGray	DarkGray	DarkYellow	LightGray	LightRed	LightTurquiose	Bar	Hourglass	Hourglass	Hourglass	Dodecagon	UpArrow	Spade	Dodecagon	DarkRed	DarkGray	UpArrow	Bar	DarkRed	DarkRed	DarkGreen	LightYellow	DarkGreen	Puzzle	Dodecagon	DarkPurple	Lock
DarkGreen	Bar	DarkGreen	DarkTurquiose	DarkGray	DarkGray	DarkYellow	LightGray	LightRed	LightTurquiose	Bar	Hourglass	Hourglass	Hourglass	Dodecagon	UpArrow	Spade	Dodecagon	DarkRed	DarkGray	UpArrow	Bar	DarkRed	DarkRed	DarkGreen	LightYellow	DarkGreen	Puzzle	Dodecagon	DarkPurple	Lock
DarkGreen_Choice	Bar_Choice	DarkGreen_Choice	DarkTurquiose_Choice	DarkGray_Choice	DarkGray_Choice	DarkYellow_Choice	LightGray_Choice	LightRed_Choice	LightTurquiose_Choice	Bar_Choice	Hourglass_Choice	Hourglass_Choice	Hourglass_Choice	Dodecagon_Choice	UpArrow_Choice	Spade_Choice	Dodecagon_Choice	DarkRed_Choice	DarkGray_Choice	UpArrow_Choice	Bar_Choice	DarkRed_Choice	DarkRed_Choice	DarkGreen_Choice	LightYellow_Choice	DarkGreen_Choice	Puzzle_Choice	Dodecagon_Choice	DarkPurple_Choice	Lock_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Dodecagon	DarkTurquiose	Bar	Dodecagon	LightGray	UpArrow	Spike	DarkYellow	Spade	DarkBlue	Hat	LightGray	LightGray	Hourglass	Venn	LightGray	DarkTurquiose	Dodecagon	DarkGray	Sawblade	DarkPurple	Hat	Sawblade	Sawblade	Bar	DarkGreen	Hat	Rabbit	LightPurple	Rabbit	Puzzle
Dodecagon	DarkTurquiose	Bar	Dodecagon	LightGray	UpArrow	Spike	DarkYellow	Spade	DarkBlue	Hat	LightGray	LightGray	Hourglass	Venn	LightGray	DarkTurquiose	Dodecagon	DarkGray	Sawblade	DarkPurple	Hat	Sawblade	Sawblade	Bar	DarkGreen	Hat	Rabbit	LightPurple	Rabbit	Puzzle
Dodecagon	DarkTurquiose	Bar	Dodecagon	LightGray	UpArrow	Spike	DarkYellow	Spade	DarkBlue	Hat	LightGray	LightGray	Hourglass	Venn	LightGray	DarkTurquiose	Dodecagon	DarkGray	Sawblade	DarkPurple	Hat	Sawblade	Sawblade	Bar	DarkGreen	Hat	Rabbit	LightPurple	Rabbit	Puzzle
Dodecagon_Choice	DarkTurquiose_Choice	Bar_Choice	Dodecagon_Choice	LightGray_Choice	UpArrow_Choice	Spike_Choice	DarkYellow_Choice	Spade_Choice	DarkBlue_Choice	Hat_Choice	LightGray_Choice	LightGray_Choice	Hourglass_Choice	Venn_Choice	LightGray_Choice	DarkTurquiose_Choice	Dodecagon_Choice	DarkGray_Choice	Sawblade_Choice	DarkPurple_Choice	Hat_Choice	Sawblade_Choice	Sawblade_Choice	Bar_Choice	DarkGreen_Choice	Hat_Choice	Rabbit_Choice	LightPurple_Choice	Rabbit_Choice	Puzzle_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Hourglass	DarkGreen	Hourglass	LightRed	UpArrow	Spike	LightGray	Venn	Hourglass	Nail	Bar	LightGray	LightGray	Venn	LightTurquiose	Spade	Venn	DarkRed	LightBlue	DarkPurple	Hat	Bar	Puzzle	Puzzle	DarkGreen	DarkGreen	LightGreen	LightPurple	DarkTurquiose	Dodecagon	DarkTurquiose
Hourglass	DarkGreen	Hourglass	LightRed	UpArrow	Spike	LightGray	Venn	Hourglass	Nail	Bar	LightGray	LightGray	Venn	LightTurquiose	Spade	Venn	DarkRed	LightBlue	DarkPurple	Hat	Bar	Puzzle	Puzzle	DarkGreen	DarkGreen	LightGreen	LightPurple	DarkTurquiose	Dodecagon	DarkTurquiose
Hourglass	DarkGreen	Hourglass	LightRed	UpArrow	Spike	LightGray	Venn	Hourglass	Nail	Bar	LightGray	LightGray	Venn	LightTurquiose	Spade	Venn	DarkRed	LightBlue	DarkPurple	Hat	Bar	Puzzle	Puzzle	DarkGreen	DarkGreen	LightGreen	LightPurple	DarkTurquiose	Dodecagon	DarkTurquiose
Hourglass_Choice	DarkGreen_Choice	Hourglass_Choice	LightRed_Choice	UpArrow_Choice	Spike_Choice	LightGray_Choice	Venn_Choice	Hourglass_Choice	Nail_Choice	Bar_Choice	LightGray_Choice	LightGray_Choice	Venn_Choice	LightTurquiose_Choice	Spade_Choice	Venn_Choice	DarkRed_Choice	LightBlue_Choice	DarkPurple_Choice	Hat_Choice	Bar_Choice	Puzzle_Choice	Puzzle_Choice	DarkGreen_Choice	DarkGreen_Choice	LightGreen_Choice	LightPurple_Choice	DarkTurquiose_Choice	Dodecagon_Choice	DarkTurquiose_Choice
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background	Background
